videoid, locationurl ,compressionfiletype, filesize,
10263,http://www.ibiblio.org/openvideo/video/infoinlife/Cory-D-EFF.mp4,4,211.5,
10264,http://www.ibiblio.org/openvideo/video/infoinlife/RobinMillerTalk.mp4,4,261.8,
10265,http://www.ibiblio.org/openvideo/video/infoinlife/MoglenTalk.mp4,4,210.8,
10266,http://www.ibiblio.org/openvideo/video/infoinlife/Lawrence_Lessig_Talk.mp4,4,98.2,
10267,http://www.ibiblio.org/openvideo/video/infoinlife/sapna_kumar.mp4,4,114,
10268,http://www.ibiblio.org/openvideo/video/infoinlife/Alex_Tropsha.mp4,4,117.2,
10270,http://www.ibiblio.org/openvideo/video/infoinlife/Barbara_Rimer-Interview.mp4,4,100.9,
10271,http://www.ibiblio.org/openvideo/video/infoinlife/KenBollen.mp4,4,78.3,
10272,http://www.ibiblio.org/openvideo/video/infoinlife/ScottAdams.mp4,4,68.6,
10273,http://www.ibiblio.org/openvideo/video/infoinlife/DianeKelly.mp4,4,91.5,
10274,http://www.ibiblio.org/openvideo/video/infoinlife/DavidPontenzini.mp4,4,126.7,
10275,http://www.ibiblio.org/openvideo/video/infoinlife/Lawrence_Grossberg.mp4,4,146.8,
10276,http://www.ibiblio.org/openvideo/video/infoinlife/Jane_Greenberg.mp4,4,274,
10277,http://www.ibiblio.org/openvideo/video/infoinlife/EvelynDanielInterview.mp4,4,109.3,
10278,http://www.ibiblio.org/openvideo/video/infoinlife/Klinefelter.mp4,4,73.4,
10279,http://www.ibiblio.org/openvideo/video/infoinlife/SarahMichalak.mp4,4,89.7,
10280,http://www.ibiblio.org/openvideo/video/infoinlife/Mark_Winston_Interview.mp4,4,102.6,
10281,http://www.ibiblio.org/openvideo/video/infoinlife/Joanne_Marshall.mp4,4,103.8,
10282,http://www.ibiblio.org/openvideo/video/infoinlife/JeffPomerantz.mp4,4,57.8,
10283,http://www.ibiblio.org/openvideo/video/infoinlife/Jose-Marie-Griffith-May31.mp4,4,79.2,
10284,http://www.ibiblio.org/openvideo/video/infoinlife/stephanieHaas.mp4,4,94.5,
10285,http://www.ibiblio.org/openvideo/video/infoinlife/Claudia_Gallop.mp4,4,98.3,
10286,http://www.ibiblio.org/openvideo/video/infoinlife/SandraHughes-Hassell.mp4,4,103.3,
