PBCoreTitle::title,PBCoreDescription::descriptionType,PBCoreDescription::description,PBCoreIdentifier::identifierSource,PBCoreIdentifier::identifier,PBCoreInstantiation::formatLocation,PBCoreFormatIdentifier::formatIdentifierSource,PBCoreFormatIdentifier::formatIdentifier,PBCoreTitle::titleType,PBCoreTitle::title,PBCoreDescription::description,PBCoreDescription::descriptionType,PBCoreIdentifier::identifierSource,PBCoreIdentifier::identifier,PBCoreSubject::subjectAuthorityUsed,PBCoreSubject::subject,PBCoreGenre::genreAuthorityUsed,PBCoreGenre::genre,PBCoreRelation::relationType,PBCoreRelation::relationIdentifier,PBCoreCoverage::coverageType,PBCoreCoverage::coverage,PBCoreAudienceLevel::audienceLevel,PBCoreAudienceRating::audienceRating,PBCoreCreator::creatorRole,PBCoreCreator::creator,PBCoreContributor::contributorRole,PBCoreContributor::contributor,PBCorePublisher::publisherRole,PBCorePublisher::publisher,PBCoreRights::rightSummary,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatPhysical,PBCoreInstantiation::formatDigital,asset.instance..PBCInstantiation.pk::formatLocation,asset.instance..PBCInstantiation.pk::formatPhysical,asset.instance..PBCInstantiation.pk::formatDigital,PBCoreInstantiation::formatLocation,asset.instance..PBCInstantiation.pk::formatMediaType, formatIdentifierSource, formatIdentifier,assetInstance..PBCDateAvailable.fk::dateAvailableStart,assetInstance..PBCDateAvailable.fk::dateAvailableEnd,assetInstance..PBCAnnotation.fk::annotation,PBCoreInstantiation::formatLocation,PBCoreInstantiation::language,PBCoreInstantiation::formatMediaType,PBCoreInstantiation::alternateModes,PBCoreInstantiation::formatLocation,PBCoreInstantiation::dateCreated,PBCoreInstantiation::dateIssued,PBCoreInstantiation::formatGenerations,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatStandard,PBCoreInstantiation::formatFileSize,PBCoreInstantiation::formatBitDepth,PBCoreInstantiation::formatEncoding,PBCoreInstantiation::formatTracks,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatColors,PBCoreInstantiation::formatAspectRatio,PBCoreInstantiation::formatFrameSize,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatTimeStart,PBCoreInstantiation::formatDuration,PBCoreInstantiation::formatSamplingRate,PBCoreInstantiation::formatDataRate,PBCoreInstantiation::formatFrameRate,PBCoreExtension::extensionAuthorityUsed,PBCoreExtension::extension
Western Maine Sanatorium (Excerpt),Abstract,Patients in beds on balcony. Interior of dining room with people seated around large table. Boys and men in baseball uniforms pose outdoors. One jersey reads ÒBelmont.Ó,Northeast Historic Film (Organization),1361.0001excerpt,NHF hard drive,Northeast Historic Film (Organization),1361.0001excerpt,Selection or Excerpt,Western Maine Sanatorium (Excerpt),Patients in beds on balcony. Interior of dining room with people seated around large table. Boys and men in baseball uniforms pose outdoors. One jersey reads ÒBelmont.Ó,Abstract,Northeast Historic Film (Organization),1361.0001excerpt,[LC authorities],Amateur films,[LC authorities],Amateur films,Is Version Of,1361.0001,Spatial,"Hebron, ME",,,Creator,"Adams, Lester; M.D.",,,,,Northeast Historic Film,NHF hard drive,,video/quicktime,UMaine server,,video/mp4,NHF hard drive,Moving Image,University of Maine (Organization),6-4108,,,"Conclusion of reel 1, Lester Adams, M.D. home movies (Talbot and Barbara Hackett Collection). Excerpt begins at 00:14:57 of original (1361.0001).",NHF hard drive,,Moving Image,,NHF hard drive,2007,,,NHF hard drive,QuickTime,,,DV-NTSC,Silent,NHF hard drive,B&W,3:2,720x480,NHF hard drive,,00:01:42,,30 mbit/s,30 fps (60 fields/sec),,
,,,,,,,,,,"Conclusion of reel 1, Lester Adams, M.D. home movies (Talbot and Barbara Hackett Collection). ",Selection or Excerpt,University of Maine (Organization),6-4108,[LC authorities],Sanatoriums,,,Is Version Of,6-4101D,Temporal,1933,,,,,,,,,,UMaine server,,video/mp4,,,,UMaine server,,,,,,http://windowsonmaine.library.umaine.edu/objects/6-4108.mov,UMaine server,,Moving Image,,UMaine server,2007,,,UMaine server,MPEG video,3.24 MB,,MPEG-4,Silent,UMaine server,B&W,4:3,320x240,UMaine server,,00:01:42,,260 kbits/s,15 fps,,
,,,,,,,,,,,,,,[LC authorities],Baseball,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
