PBCoreTitle::title,PBCoreDescription::descriptionType,PBCoreDescription::description,PBCoreIdentifier::identifierSource,PBCoreIdentifier::identifier,PBCoreInstantiation::formatLocation,PBCoreFormatIdentifier::formatIdentifierSource,PBCoreFormatIdentifier::formatIdentifier,PBCoreTitle::titleType,PBCoreTitle::title,PBCoreDescription::description,PBCoreDescription::descriptionType,PBCoreIdentifier::identifierSource,PBCoreIdentifier::identifier,PBCoreSubject::subjectAuthorityUsed,PBCoreSubject::subject,PBCoreGenre::genreAuthorityUsed,PBCoreGenre::genre,PBCoreRelation::relationType,PBCoreRelation::relationIdentifier,PBCoreCoverage::coverageType,PBCoreCoverage::coverage,PBCoreAudienceLevel::audienceLevel,PBCoreAudienceRating::audienceRating,PBCoreCreator::creatorRole,PBCoreCreator::creator,PBCoreContributor::contributorRole,PBCoreContributor::contributor,PBCorePublisher::publisherRole,PBCorePublisher::publisher,PBCoreRights::rightSummary,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatPhysical,PBCoreInstantiation::formatDigital,asset.instance..PBCInstantiation.pk::formatLocation,asset.instance..PBCInstantiation.pk::formatPhysical,asset.instance..PBCInstantiation.pk::formatDigital,PBCoreInstantiation::formatLocation,asset.instance..PBCInstantiation.pk::formatMediaType,asset.instance..PBCFormatID.fk::formatIdentifierSource,asset.instance..PBCFormatID.fk::formatIdentifier,assetInstance..PBCDateAvailable.fk::dateAvailableStart,assetInstance..PBCDateAvailable.fk::dateAvailableEnd,assetInstance..PBCAnnotation.fk::annotation,PBCoreInstantiation::formatLocation,PBCoreInstantiation::language,PBCoreInstantiation::formatMediaType,PBCoreInstantiation::alternateModes,PBCoreInstantiation::formatLocation,PBCoreInstantiation::dateCreated,PBCoreInstantiation::dateIssued,PBCoreInstantiation::formatGenerations,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatStandard,PBCoreInstantiation::formatFileSize,PBCoreInstantiation::formatBitDepth,PBCoreInstantiation::formatEncoding,PBCoreInstantiation::formatTracks,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatColors,PBCoreInstantiation::formatAspectRatio,PBCoreInstantiation::formatFrameSize,PBCoreInstantiation::formatLocation,PBCoreInstantiation::formatTimeStart,PBCoreInstantiation::formatDuration,PBCoreInstantiation::formatSamplingRate,PBCoreInstantiation::formatDataRate,PBCoreInstantiation::formatFrameRate,PBCoreExtension::extensionAuthorityUsed,PBCoreExtension::extension
"Lester Adams, M.D. home movies -- Reel 1",Abstract,"Fourth of July parade with minstrel show, old automobiles, people in costume. Closeup of minstrel players in blackface. Men, women, boys, and girls compete separately in races outdoors. Potato race, sack race, three-legged race, human wheelbarrow race. Closeups of winners follow each race. Tug of war competition. Patients in beds on balcony. Interior of dining room with people seated around large table. Boys and men in baseball uniforms pose outdoors. One jersey reads “Belmont.”",Northeast Historic Film (Organization),1361.0001,NHF cube,Northeast Historic Film (Organization),1361.0001,Segment,"Lester Adams, M.D. home movies -- Reel 1","Fourth of July parade with minstrel show, old automobiles, people in costume. Closeup of minstrel players in blackface. Men, women, boys, and girls compete separately in races outdoors. Potato race, sack race, three-legged race, human wheelbarrow race. Closeups of winners follow each race. Tug of war competition. Patients in beds on balcony. Interior of dining room with people seated around large table. Boys and men in baseball uniforms pose outdoors. One jersey reads “Belmont.”",Abstract,Northeast Historic Film (Organization),1361.0001,[LC Authorities],Amateur films,[LC Authorities],Amateur films,Is Part Of,Talbot and Barbara Hackett Collection,Spatial,"Hebron, ME",,,Creator,"Adams, Lester; M.D.",,,,,Northeast Historic Film,NHF cube,Film: 16mm,,,,,NHF cube,,University of Maine (Organization),6-4108,,,"Conclusion of reel 1, Lester Adams, M.D. home movies (Talbot and Barbara Hackett Collection). Excerpt begins at 00:14:57 of original (1361.0001).",NHF cube,,Moving Image,,NHF cube,1933,,,NHF cube,Film,,,,Silent,NHF cube,B&W,4:3,,NHF cube,,00:16:40,,,15 fps,,
,,,,,,,,Web Version,Western Maine Sanatorium I,,,University of Maine (Organization),6-4101D,[LC Authorities],Blackface entertainers,,,,,Temporal,1933,,,,,,,,,,NHF cube,Film: 16mm,,,,,NHF cube,,,,,,http://windowsonmaine.library.umaine.edu/objects/6-4108.mov,NHF cube,,Moving Image,,NHF cube,1999-10,,,NHF cube,Film,,,,Silent,NHF cube,B&W,4:3,,NHF cube,,00:16:40,,,15 fps,,
,,,,,,,,,,,,,,[LC Authorities],Fourth of July,,,,,,,,,,,,,,,,NHF cube,Film: 16mm,,,,,NHF cube,,,,,,,NHF cube,,Moving Image,,NHF cube,1999-10,,,NHF cube,Film,,,,Silent,NHF cube,B&W,4:3,,NHF cube,,00:16:40,,,15 fps,,
,,,,,,,,,,,,,,[LC Authorities],Parades,,,,,,,,,,,,,,,,NHF cube,Film: 16mm,,,,,NHF cube,,,,,,,NHF cube,,Moving Image,,NHF cube,1999-10,,,NHF cube,Film,,,,Silent,NHF cube,B&W,4:3,,NHF cube,,00:16:40,,,15 fps,,
,,,,,,,,,,,,,,[LC Authorities],Racing,,,,,,,,,,,,,,,,NHF ref. vault,Betacam SP,,,,,NHF ref. vault,,,,,,,NHF ref. vault,,Moving Image,,NHF ref. vault,2007,,,NHF ref. vault,NTSC video (interlaced),,,,Silent,NHF ref. vault,B&W,4:3,,NHF ref. vault,,00:16:40,,,30 fps (60 fields/sec),,
,,,,,,,,,,,,,,[LC Authorities],Sanatoriums,,,,,,,,,,,,,,,,NHF study ctr.,DVD-R,,,,,NHF study ctr.,,,,,,,NHF study ctr.,,Moving Image,,NHF study ctr.,2007,,,NHF study ctr.,NTSC video (interlaced),,,,Silent,NHF study ctr.,B&W,4:3,,NHF study ctr.,,00:16:40,,,30 fps (60 fields/sec),,
,,,,,,,,,,,,,,[LC Authorities],Baseball,,,,,,,,,,,,,,,,NHF hard drive,,video/quicktime,,,,NHF hard drive,,,,,,,NHF hard drive,,Moving Image,,NHF hard drive,2007,,,NHF hard drive,QuickTime,,,DV-NTSC,Silent,NHF hard drive,B&W,3:2,720x480,NHF hard drive,,00:16:40,,30 mbit/s,30 fps (60 fields/sec),,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UMaine server,,video/mp4,,,,UMaine server,,,,,,,UMaine server,,Moving Image,,UMaine server,2007,,,UMaine server,MPEG video,,,MPEG-4,Silent,UMaine server,B&W,4:3,320x240,UMaine server,,00:16:40,,260 kbits/s,15 fps,,
